true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,332051,2.0,3.156376580705976,-0.1749580636709421,-4.373951591773553,2.6427273624632135,-8.747903183547105,-58095.0
-4,358012,2.0,3.155757348915679,-0.12262158810319207,-3.0655397025798017,2.6457264549591826,-6.131079405159603,-43900.0
-3,683800,2.0,3.154517402749342,-0.10433606317636736,-2.608401579409184,2.645268487198664,-5.216803158818368,-71345.0
-2,1323699,2.0,3.153855219351227,-0.07396545589291825,-1.8491363973229564,2.64626054367844,-3.698272794645913,-97908.0
-1,2497190,2.0,3.150537604267196,-0.051684893820654415,-1.2921223455163604,2.6455363910002303,-2.584244691032721,-129067.0
0,9885539,2.0,3.150909525520055,-0.016048796125330143,-0.40121990313325356,2.6475509093701377,-0.802439806266507,-158651.0
1,2360594,2.0,3.1493035227574078,0.014671307306550809,0.36678268266377023,2.6452219919160465,0.7335653653275405,34633.0
2,1252431,2.0,3.150474557081388,0.03905364846446631,0.9763412116116578,2.6501315311836158,1.9526824232233153,48912.0
3,649774,2.0,3.1502614755284144,0.06947492512781367,1.7368731281953418,2.6523703822368248,3.4737462563906836,45143.0
4,342171,2.0,3.150220211531661,0.08268380429668207,2.067095107417052,2.6485917797776257,4.134190214834104,28292.0
5,168405,2.0,3.1497164573498413,0.10780558772007957,2.6951396930019893,2.6546809740956596,5.390279386003979,18155.0
6,81474,2.0,3.154036870658124,0.13119522792547317,3.279880698136829,2.6576254254299,6.559761396273658,10689.0
7,37137,2.0,3.158090314241861,0.13622532784015942,3.4056331960039854,2.6555587447315925,6.811266392007971,5059.0
>=8,27723,2.0,3.158676910868232,0.19994228618836346,4.998557154709086,2.686902801647289,9.997114309418173,5543.0
