label,player,dealer,tc,best_action,best_ev,runner_up,runner_up_ev,edge,combined_ci95,clear
hard 16 vs 10,"T,6",T,4,H,-0.60842,S,-0.616105,0.007685000000000053,0.004645003029417806,True
hard 16 vs 10,"T,6",T,5,S,-0.621875,H,-0.62222,0.0003450000000000397,0.004600385047446333,False
hard 16 vs 10,"T,6",T,6,S,-0.62574,H,-0.62949,0.003750000000000031,0.00457772632062014,False
hard 16 vs 10,"T,6",T,7,S,-0.632905,H,-0.64275,0.009844999999999993,0.004529548335133184,True
hard 12 vs 3,"T,2",3,1,H,-0.29894,S,-0.336995,0.038055000000000005,0.005516789418164427,True
hard 12 vs 3,"T,2",3,2,H,-0.30105,S,-0.318585,0.017535000000000023,0.005535790036592989,True
hard 12 vs 3,"T,2",3,3,H,-0.302675,S,-0.307585,0.00490999999999997,0.005549014621333882,False
hard 12 vs 3,"T,2",3,4,S,-0.29833,H,-0.305045,0.0067150000000000265,0.005554537225396244,True
hard 12 vs 3,"T,2",3,5,S,-0.282295,H,-0.306425,0.024129999999999985,0.005572044650856523,True
hard 12 vs 4,"T,2",4,0,H,-0.27876,S,-0.303065,0.024304999999999966,0.005579840602087608,True
hard 12 vs 4,"T,2",4,1,H,-0.276785,S,-0.283535,0.006749999999999978,0.0056064359659859135,True
hard 12 vs 4,"T,2",4,2,S,-0.269145,H,-0.279205,0.010059999999999958,0.005618649541814795,True
hard 12 vs 4,"T,2",4,3,S,-0.25915,H,-0.279595,0.02044499999999999,0.005627048572922381,True
hard 13 vs 2,"T,3",2,2,H,-0.41354,S,-0.42436,0.010819999999999996,0.00507967807986199,True
hard 13 vs 2,"T,3",2,3,S,-0.42014,H,-0.42327,0.003129999999999966,0.005062219169405845,False
hard 13 vs 2,"T,3",2,4,S,-0.419385,H,-0.42645,0.007064999999999988,0.005052052785060168,True
hard 13 vs 2,"T,3",2,5,S,-0.409675,H,-0.4358,0.02612500000000001,0.00504013486347687,True
single-card 8 vs 4,8,4,-1,H,-0.047515,D,-0.09828,0.050765000000000005,0.01089989849775359,True
single-card 8 vs 4,8,4,0,H,-0.02715,D,-0.06279,0.03564,0.010843504302375094,True
single-card 8 vs 4,8,4,1,H,-0.00695,D,-0.00938,0.00243,0.010778542118543899,False
single-card 8 vs 4,8,4,2,D,0.00928,H,0.00277,0.00651,0.010711849381722541,False
single-card 8 vs 4,8,4,3,D,0.03883,H,0.02292,0.015910000000000004,0.01066766521341374,True
single-card 10 vs 10 low TC,T,T,-4,D,0.042645,H,0.0169075,0.025737500000000003,0.009419629587747246,True
single-card 10 vs 10 low TC,T,T,-3,D,0.050445,H,0.0230775,0.027367499999999996,0.009434416767688808,True
single-card 10 vs 10 low TC,T,T,-2,D,0.056115,H,0.025795,0.03032,0.00942267398358863,True
single-card 10 vs 10 low TC,T,T,-1,D,0.0679,H,0.032885,0.035015000000000004,0.009420938502474909,True
single-card 10 vs 10 low TC,T,T,0,D,0.074755,H,0.03874,0.036015000000000005,0.009423446210002951,True
single-card 10 vs A low TC,T,A,-4,H,0.0007,D,-0.002935,0.003635,0.009516603238868698,False
single-card 10 vs A low TC,T,A,-3,D,0.019515,H,0.0097325,0.009782500000000001,0.009538129803863319,True
single-card 10 vs A low TC,T,A,-2,D,0.04445,H,0.0211225,0.023327500000000004,0.009560515845611049,True
single-card 10 vs A low TC,T,A,-1,D,0.06713,H,0.0314925,0.035637499999999996,0.009559010158312646,True
single-card 10 vs A low TC,T,A,0,D,0.096,H,0.0481625,0.047837500000000005,0.009571124354953746,True
