bucket,bet_per_hand,hands,freq,edge_pct,ev_hour,sd_hour,avg_initial_bet,n0_rounds,ror_pct
<=-5,10,1,0.030396,-9.961672588498487,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
-4,10,1,0.0274743,-6.690616321434941,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
-3,10,1,0.0369655,-5.210398885447241,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
-2,10,1,0.07977275,-3.788386385075104,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
-1,10,1,0.1173082,-2.657614727700195,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
0,10,1,0.4308856,-0.847614772923486,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
1,20,1,0.11137485,0.6962972340703489,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
2,40,1,0.0757531,2.099320027827244,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
3,80,1,0.0351187,3.56718785148653,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
4,160,1,0.02615805,4.4473880889439386,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
5,160,1,0.0112856,6.468419933366413,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
6,160,1,0.0089119,7.574142438761656,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
7,160,1,0.003452,7.907010428736964,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
>=8,160,1,0.00514345,10.82153029581312,54.602121,714.3340588034105,24.0873005,16772.96205056179,1.3839521883465131
